"age_band","Gender","Type_of_Travel","passenger_count","avg_upsell_score","avg_flight_distance","high_potential_targets","high_potential_target_pct"
"51_65","Female","Business travel","1296","85.83","635.59","730","56.33"
"36_50","Female","Business travel","2194","84.56","670.79","1229","56.02"
"36_50","Male","Business travel","2212","84.23","662.01","1243","56.19"
"51_65","Male","Business travel","1306","82.05","669.1","701","53.68"
"18_35","Female","Business travel","957","81.4","808.58","479","50.05"
"66_plus","Female","Business travel","291","81.34","643.38","138","47.42"
"18_35","Male","Business travel","959","81.18","817.53","493","51.41"
"36_50","Male","Personal Travel","3048","80.32","789.62","1531","50.23"
"51_65","Male","Personal Travel","3060","80.13","775.7","1499","48.99"
"18_35","Male","Personal Travel","3679","79.8","779.5","1813","49.28"
"18_35","Female","Personal Travel","3818","79.65","798.66","1889","49.48"
"66_plus","Male","Personal Travel","3327","79.6","794.6","1630","48.99"
"36_50","Female","Personal Travel","3059","79.02","775.13","1426","46.62"
"66_plus","Female","Personal Travel","3313","78.89","803.72","1562","47.15"
"51_65","Female","Personal Travel","3035","78.56","798.01","1441","47.48"
"66_plus","Male","Business travel","281","75.4","714.81","107","38.08"
